iter	Passed	Remaining
683	1358	627
684	1359	625
685	1361	623
686	1363	621
687	1364	618
688	1365	616
689	1367	614
690	1368	612
691	1369	609
692	1371	607
693	1372	604
694	1372	602
695	1374	600
696	1375	598
697	1377	596
698	1379	593
699	1380	591
700	1381	589
701	1382	586
702	1383	584
703	1384	582
704	1385	579
705	1386	577
706	1387	575
707	1388	572
708	1390	570
709	1392	568
710	1393	566
711	1394	563
712	1395	561
713	1396	559
714	1398	557
715	1399	555
716	1400	552
717	1401	550
718	1402	548
719	1403	545
720	1404	543
721	1406	541
722	1408	539
723	1409	537
724	1410	534
725	1411	532
726	1412	530
727	1413	528
728	1414	525
729	1415	523
730	1416	521
731	1417	519
732	1418	516
733	1420	514
734	1421	512
735	1423	510
736	1424	508
737	1425	505
738	1426	503
739	1427	501
740	1428	499
741	1429	496
742	1430	494
743	1430	492
744	1431	490
745	1432	487
746	1434	485
747	1436	483
748	1437	481
749	1438	479
750	1439	477
751	1439	474
752	1440	472
753	1442	470
754	1443	468
755	1444	466
756	1445	463
757	1446	461
758	1447	459
759	1451	458
760	1453	456
761	1454	454
762	1455	452
763	1456	449
764	1457	447
765	1458	445
766	1459	443
767	1460	441
768	1461	438
769	1462	436
770	1463	434
771	1465	432
772	1466	430
773	1468	428
774	1469	426
775	1470	424
776	1471	422
777	1472	420
778	1473	418
779	1474	415
780	1476	413
781	1477	412
782	1480	410
783	1481	408
784	1482	406
785	1484	404
786	1485	401
787	1486	399
788	1487	397
789	1488	395
790	1489	393
791	1490	391
792	1491	389
793	1493	387
794	1495	385
795	1496	383
796	1497	381
797	1498	379
798	1499	377
799	1500	375
800	1501	373
801	1502	370
802	1503	368
803	1504	366
804	1505	364
805	1506	362
806	1508	360
807	1510	358
808	1511	356
809	1512	354
810	1513	352
811	1514	350
812	1515	348
813	1516	346
814	1517	344
815	1518	342
816	1519	340
817	1520	338
818	1523	336
819	1524	334
820	1525	332
821	1526	330
822	1527	328
823	1528	326
824	1529	324
825	1530	322
826	1531	320
827	1532	318
828	1533	316
829	1534	314
830	1535	312
831	1537	310
832	1539	308
833	1540	306
834	1541	304
835	1542	302
836	1543	300
837	1544	298
838	1545	296
839	1545	294
840	1546	292
841	1548	290
842	1549	288
843	1550	286
844	1551	284
845	1552	282
846	1554	280
847	1555	278
848	1556	276
849	1557	274
850	1558	272
851	1559	270
852	1560	268
853	1561	266
854	1562	264
855	1562	262
856	1563	260
857	1564	258
858	1565	257
859	1567	255
860	1569	253
861	1570	251
862	1571	249
863	1572	247
864	1573	245
865	1574	243
866	1574	241
867	1575	239
868	1576	237
869	1577	235
870	1578	233
871	1579	231
872	1580	229
873	1581	228
874	1583	226
875	1584	224
876	1585	222
877	1586	220
878	1587	218
879	1588	216
880	1589	214
881	1590	212
882	1591	210
883	1592	208
884	1593	207
885	1594	205
886	1595	203
887	1597	201
888	1598	199
889	1599	197
890	1600	195
891	1601	193
892	1602	192
893	1603	190
894	1604	188
895	1605	186
896	1606	184
897	1607	182
898	1608	180
899	1609	178
900	1611	177
901	1612	175
902	1613	173
903	1614	171
904	1615	169
905	1616	167
906	1617	165
907	1619	164
908	1620	162
909	1621	160
910	1622	158
911	1623	156
912	1624	154
913	1625	152
914	1627	151
915	1628	149
916	1629	147
917	1630	145
918	1632	143
919	1633	142
920	1634	140
921	1635	138
922	1636	136
923	1637	134
924	1638	132
925	1639	131
926	1640	129
927	1643	127
928	1644	125
929	1645	123
930	1646	122
931	1647	120
932	1648	118
933	1649	116
934	1650	114
935	1652	112
936	1653	111
937	1654	109
938	1655	107
939	1656	105
940	1658	103
941	1659	102
942	1661	100
943	1662	98
944	1664	96
945	1665	95
946	1666	93
947	1667	91
948	1668	89
949	1669	87
950	1671	86
951	1673	84
952	1674	82
953	1675	80
954	1676	79
955	1677	77
956	1678	75
957	1679	73
958	1680	71
959	1681	70
960	1682	68
961	1683	66
962	1684	64
963	1686	62
964	1687	61
965	1688	59
966	1689	57
967	1690	55
968	1691	54
969	1693	52
970	1694	50
971	1695	48
972	1696	47
973	1697	45
974	1698	43
975	1699	41
976	1701	40
977	1702	38
978	1703	36
979	1704	34
980	1705	33
981	1706	31
982	1707	29
983	1708	27
984	1709	26
985	1710	24
986	1711	22
987	1712	20
988	1713	19
989	1714	17
990	1716	15
991	1718	13
992	1719	12
993	1720	10
994	1721	8
995	1722	6
996	1723	5
997	1724	3
998	1725	1
999	1726	0
